sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,0.977,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.08892747,0.4471337,0.1419654,-0.04219122,0.02370127,0.0819668,0.01683568,-0.02212322,0.01084124,-0.01617409,-0.00500992,0.00304675,0.00095827,-0.00055992,-0.00050079,-0.00004697,-0.00001885,-0.00067933,0.00133757,-0.0000006,0.00022055,0.00000301,-0.00000056,0.00079573
1,0.977,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.05434202,0.31549475,0.07661395,-0.03201455,0.01949254,0.04341711,0.01644978,-0.0203185,0.01004807,-0.01257128,-0.00947839,0.00553939,0.00032196,-0.00102896,-0.00065043,-0.0000799,-0.00003762,-0.0006766,0.0017152,0.00000033,0.00021683,0.00000273,0.00000037,0.00079412
1,0.977,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.05891674,0.35825577,0.08622325,-0.00437277,0.02657713,0.04901434,0.01855885,-0.02099391,0.01255313,-0.0020857,-0.0108226,-0.00056542,0.00036048,-0.00109626,-0.00009647,-0.00008955,0.00001238,-0.00028895,0.00171542,-0.00000275,0.00021608,0.000004,0.00000044,0.00079441
1,0.977,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.09735799,0.5004863,0.15885848,-0.00445511,0.02893146,0.09177588,0.018259,-0.02274751,0.01269071,-0.00211184,-0.00606626,-0.00046285,0.00100187,-0.00062881,-0.00008363,-0.00005071,0.0000077,-0.00028734,0.0013378,-0.00000243,0.00021994,0.0000038,-0.00000059,0.000796
1,0.927,1,0,0,-22.14,12.15,-0.071,-0.037,0.07832253,0.43702385,0.1218243,-0.02270985,0.03124346,0.06997873,0.01833372,-0.02340695,0.01400984,-0.00897385,-0.00829307,0.0019927,0.0007304,-0.00087248,-0.00034965,-0.00007055,-0.00000953,-0.00050902,0.00161049,-0.00000146,0.00023029,0.00000357,-0.00000005,0.0008379
1,0.927,2,-20.44,20.44,-42.58,32.59,-0.134,-0.099,0.09356417,0.47064648,0.14931783,-0.04446129,0.02498636,0.08621217,0.01775543,-0.02331638,0.01142835,-0.01704448,-0.00528014,0.00321041,0.00101017,-0.00059011,-0.0005278,-0.0000495,-0.00001987,-0.00071597,0.00140972,-0.00000063,0.00023244,0.00000317,-0.00000059,0.00083865
1,0.927,3,-20.44,-20.44,-42.58,-8.29,-0.134,0.025,0.05714086,0.33249874,0.08045901,-0.03373564,0.02054529,0.04559334,0.01734051,-0.02141268,0.01059051,-0.01324732,-0.00998962,0.00583751,0.00033955,-0.00108445,-0.00068553,-0.00008421,-0.00003965,-0.00071309,0.00180771,0.00000034,0.00022853,0.00000288,0.00000039,0.00083695
1,0.927,4,20.44,-20.44,-1.7,-8.29,-0.008,0.024,0.06195469,0.37700025,0.09057618,-0.00460818,0.02801204,0.05148643,0.01956532,-0.02212904,0.0132307,-0.00219804,-0.01140634,-0.00059656,0.00038014,-0.00115539,-0.00010168,-0.00009438,0.00001305,-0.00030453,0.00180794,-0.0000029,0.00022773,0.00000422,0.00000046,0.00083725
1,0.927,5,20.44,20.44,-1.7,32.59,-0.008,-0.099,0.1024405,0.52688736,0.16711175,-0.00469497,0.0304986,0.09654434,0.01925004,-0.02397882,0.01337756,-0.00222559,-0.00639347,-0.00048846,0.00105611,-0.00066272,-0.00008814,-0.00005345,0.00000811,-0.00030284,0.00140995,-0.00000256,0.0002318,0.000004,-0.00000062,0.00083893
1,1.06,1,0,0,-22.14,12.15,-0.071,-0.037,0.06884278,0.38351999,0.10722214,-0.01986711,0.02731424,0.0615923,0.01601846,-0.02046704,0.01224882,-0.00785027,-0.00725253,0.00174413,0.00063829,-0.00076302,-0.00030577,-0.0000617,-0.00000834,-0.00044516,0.00140843,-0.00000127,0.00020139,0.00000312,-0.00000004,0.00073278
