====
Starting job 2058606 at Tue 28 Apr 01:09:55 BST 2020 for user dc-rope1.
Running on nodes: m7396
====
1999
Job done, info follows...
       JobID    JobName  Partition     MaxRSS    Elapsed ExitCode 
------------ ---------- ---------- ---------- ---------- -------- 
2058606_1000 FLARES-py+     cosma7              00:00:07      0:0 
2058606_51.+     extern                  127K   00:00:15      0:0 
2058606_52   FLARES-py+     cosma7              00:00:12      0:0 
2058606_52.+      batch                     0   00:00:12      0:0 
2058606_52.+     extern                  127K   00:00:12      0:0 
2058606_53   FLARES-py+     cosma7              00:00:16      0:0 
2058606_53.+      batch                     0   00:00:16      0:0 
2058606_53.+     extern                  127K   00:00:16      0:0 
2058606_54   FLARES-py+     cosma7              00:00:10      0:0 
2058606_54.+      batch                     0   00:00:10      0:0 
2058606_54.+     extern                  123K   00:00:10      0:0 
2058606_55   FLARES-py+     cosma7              00:00:16      0:0 
2058606_55.+      batch                     0   00:00:16      0:0 
2058606_55.+     extern                  123K   00:00:16      0:0 
2058606_56   FLARES-py+     cosma7              00:00:14      0:0 
2058606_56.+      batch                     0   00:00:14      0:0 
2058606_56.+     extern                  160K   00:00:14      0:0 
2058606_57   FLARES-py+     cosma7              00:00:13      0:0 
2058606_57.+      batch                     0   00:00:13      0:0 
2058606_57.+     extern                  123K   00:00:13      0:0 
2058606_58   FLARES-py+     cosma7              00:00:15      0:0 
2058606_58.+      batch                     0   00:00:15      0:0 
2058606_58.+     extern                  127K   00:00:15      0:0 
2058606_59   FLARES-py+     cosma7              00:00:13      0:0 
2058606_59.+      batch                     0   00:00:13      0:0 
2058606_59.+     extern                  127K   00:00:13      0:0 
2058606_60   FLARES-py+     cosma7              00:00:16      0:0 
2058606_60.+      batch                     0   00:00:16      0:0 
2058606_60.+     extern                  250K   00:00:16      0:0 
2058606_61   FLARES-py+     cosma7              00:00:14      0:0 
2058606_61.+      batch                     0   00:00:14      0:0 
2058606_61.+     extern                  123K   00:00:14      0:0 
2058606_62   FLARES-py+     cosma7              00:00:14      0:0 
2058606_62.+      batch                     0   00:00:14      0:0 
2058606_62.+     extern                  123K   00:00:14      0:0 
2058606_63   FLARES-py+     cosma7              00:00:14      0:0 
2058606_63.+      batch                     0   00:00:14      0:0 
2058606_63.+     extern                  159K   00:00:15      0:0 
2058606_64   FLARES-py+     cosma7              00:00:16      0:0 
2058606_64.+      batch                     0   00:00:16      0:0 
2058606_64.+     extern                  253K   00:00:17      0:0 
2058606_65   FLARES-py+     cosma7              00:00:16      0:0 
2058606_65.+      batch                     0   00:00:16      0:0 
2058606_65.+     extern                  249K   00:00:16      0:0 
2058606_66   FLARES-py+     cosma7              00:00:16      0:0 
2058606_66.+      batch                     0   00:00:16      0:0 
2058606_66.+     extern                  123K   00:00:16      0:0 
2058606_67   FLARES-py+     cosma7              00:00:10      0:0 
2058606_67.+      batch                     0   00:00:10      0:0 
2058606_67.+     extern                  127K   00:00:10      0:0 
2058606_68   FLARES-py+     cosma7              00:00:12      0:0 
2058606_68.+      batch                     0   00:00:12      0:0 
2058606_68.+     extern                  147K   00:00:12      0:0 
