====
Starting job 2057605 at Tue 28 Apr 01:01:55 BST 2020 for user dc-rope1.
Running on nodes: m7384
====
999
Need to generate this file
Job done, info follows...
       JobID    JobName  Partition     MaxRSS    Elapsed ExitCode 
------------ ---------- ---------- ---------- ---------- -------- 
2057605_1000 FLARES-py+     cosma7              00:00:04      0:0 
2057605_73.+     extern                  119K   00:00:16      0:0 
2057605_74   FLARES-py+     cosma7              00:00:15      0:0 
2057605_74.+      batch                     0   00:00:15      0:0 
2057605_74.+     extern                  252K   00:00:15      0:0 
2057605_75   FLARES-py+     cosma7              00:00:15      0:0 
2057605_75.+      batch                     0   00:00:15      0:0 
2057605_75.+     extern                  123K   00:00:15      0:0 
2057605_76   FLARES-py+     cosma7              00:00:17      0:0 
2057605_76.+      batch                     0   00:00:17      0:0 
2057605_76.+     extern                  127K   00:00:18      0:0 
2057605_77   FLARES-py+     cosma7              00:00:16      0:0 
2057605_77.+      batch                     0   00:00:16      0:0 
2057605_77.+     extern                  123K   00:00:17      0:0 
2057605_78   FLARES-py+     cosma7              00:00:15      0:0 
2057605_78.+      batch                     0   00:00:15      0:0 
2057605_78.+     extern                  123K   00:00:15      0:0 
2057605_79   FLARES-py+     cosma7              00:00:16      0:0 
2057605_79.+      batch                     0   00:00:16      0:0 
2057605_79.+     extern                  123K   00:00:16      0:0 
2057605_80   FLARES-py+     cosma7              00:00:16      0:0 
2057605_80.+      batch                     0   00:00:16      0:0 
2057605_80.+     extern                  253K   00:00:16      0:0 
2057605_81   FLARES-py+     cosma7              00:00:17      0:0 
2057605_81.+      batch                     0   00:00:17      0:0 
2057605_81.+     extern                  127K   00:00:18      0:0 
2057605_82   FLARES-py+     cosma7              00:00:15      0:0 
2057605_82.+      batch                     0   00:00:15      0:0 
2057605_82.+     extern                  123K   00:00:15      0:0 
2057605_83   FLARES-py+     cosma7              00:00:15      0:0 
2057605_83.+      batch                     0   00:00:15      0:0 
2057605_83.+     extern                  123K   00:00:15      0:0 
2057605_84   FLARES-py+     cosma7              00:00:15      0:0 
2057605_84.+      batch                     0   00:00:15      0:0 
2057605_84.+     extern                  127K   00:00:15      0:0 
2057605_85   FLARES-py+     cosma7              00:00:15      0:0 
2057605_85.+      batch                     0   00:00:15      0:0 
2057605_85.+     extern                  123K   00:00:15      0:0 
2057605_86   FLARES-py+     cosma7              00:00:16      0:0 
2057605_86.+      batch                     0   00:00:16      0:0 
2057605_86.+     extern                  127K   00:00:17      0:0 
2057605_87   FLARES-py+     cosma7              00:00:16      0:0 
2057605_87.+      batch                     0   00:00:16      0:0 
2057605_87.+     extern                  123K   00:00:17      0:0 
2057605_88   FLARES-py+     cosma7              00:00:15      0:0 
2057605_88.+      batch                     0   00:00:15      0:0 
2057605_88.+     extern                  127K   00:00:15      0:0 
2057605_89   FLARES-py+     cosma7              00:00:14      0:0 
2057605_89.+      batch                     0   00:00:14      0:0 
2057605_89.+     extern                  183K   00:00:14      0:0 
2057605_90   FLARES-py+     cosma7              00:00:15      0:0 
2057605_90.+      batch                     0   00:00:15      0:0 
2057605_90.+     extern                  123K   00:00:15      0:0 
2057605_91   FLARES-py+     cosma7              00:00:15      0:0 
2057605_91.+      batch                     0   00:00:15      0:0 
2057605_91.+     extern                  114K   00:00:15      0:0 
2057605_92   FLARES-py+     cosma7              00:00:15      0:0 
2057605_92.+      batch                     0   00:00:15      0:0 
2057605_92.+     extern                  127K   00:00:15      0:0 
2057605_93   FLARES-py+     cosma7              00:00:14      0:0 
2057605_93.+      batch                     0   00:00:14      0:0 
2057605_93.+     extern                  228K   00:00:14      0:0 
2057605_94   FLARES-py+     cosma7              00:00:16      0:0 
2057605_94.+      batch                     0   00:00:16      0:0 
2057605_94.+     extern                  254K   00:00:16      0:0 
2057605_95   FLARES-py+     cosma7              00:00:15      0:0 
2057605_95.+      batch                     0   00:00:15      0:0 
